year,industry1,industry2,industry3,retrench,retrench_permanent,retrench_term_contract
1998,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",230,230,-
1998,manufacturing,textile and wearing apparel,textile and wearing apparel,310,310,10
1998,manufacturing,paper products and publishing,paper products and publishing,510,510,-
1998,manufacturing,petroleum and chemical products,petroleum and chemical products,500,490,10
1998,manufacturing,rubber and plastic products,rubber and plastic products,1100,1060,50
1998,manufacturing,fabricated metal products,fabricated metal products,1080,1060,20
1998,manufacturing,machinery and equipment,machinery and equipment,1840,1550,280
1998,manufacturing,electrical products,electrical products,1520,1510,10
1998,manufacturing,electronic products,electronic products,11340,10080,1260
1998,manufacturing,medical and precision instruments,medical and precision instruments,270,260,10
1998,manufacturing,transport equipment,transport equipment,240,210,30
1998,manufacturing,other manufacturing industries,other manufacturing industries,1760,1660,100
1998,construction,construction,construction,2450,1210,1240
1998,services,wholesale and retail trade,wholesale trade,3310,2980,330
1998,services,wholesale and retail trade,retail trade,680,610,70
1998,services,hotels and restaurants,hotels,980,970,-
1998,services,hotels and restaurants,restaurants,430,420,10
1998,services,"transport, storage and communications","transport, storage and communications",820,800,30
1998,services,financial intermediation,financial institutions,1430,1390,40
1998,services,financial intermediation,insurance and pension funding,50,50,-
1998,services,real estate and business,real estate and business,1590,1420,170
1998,services,community,community,340,300,40
1998,others,others,others,30,-,30
1999,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",450,390,60
1999,manufacturing,textile and wearing apparel,textile and wearing apparel,30,30,-
1999,manufacturing,paper products and publishing,paper products and publishing,150,150,-
1999,manufacturing,petroleum and chemical products,petroleum and chemical products,310,310,-
1999,manufacturing,rubber and plastic products,rubber and plastic products,300,300,-
1999,manufacturing,fabricated metal products,fabricated metal products,270,260,10
1999,manufacturing,machinery and equipment,machinery and equipment,490,450,40
1999,manufacturing,electrical products,electrical products,330,330,-
1999,manufacturing,electronic products,electronic products,5200,5010,190
1999,manufacturing,medical and precision instruments,medical and precision instruments,90,90,-
